id,collocation,label,synonym,source,sentence_with_gap,sentence_filled
1633,поддаваться уговорам,0,-,nat_corpus,,
1634,поддаваться унынию,1,унывать,dict,"После череды неудач он стал [MASK] и потерял интерес ко всему, что раньше вдохновляло.","После череды неудач он стал поддаваться унынию и потерял интерес ко всему, что раньше вдохновляло."
1635,поддаваться эмоциям,0,-,nat_corpus,,
1636,поддерживать близких,0,-,nat_corpus,,
1637,поддерживать дружбу,1,дружить,dict,"Несмотря на расстояние, они продолжали [MASK], регулярно переписываясь и встречаясь по праздникам.","Несмотря на расстояние, они продолжали поддерживать дружбу, регулярно переписываясь и встречаясь по праздникам."
1638,поддерживать знакомство,1,общаться,dict,"После конференции они решили [MASK], ведь у них было много общих интересов и тем для общения.","После конференции они решили поддерживать знакомство, ведь у них было много общих интересов и тем для общения."
1639,поддерживать партию,0,-,nat_corpus,,
1640,поддерживать разговор,1,разговаривать,dict,"Даже в неловких ситуациях он всегда умел [MASK], не давая собеседнику почувствовать себя неуютно.","Даже в неловких ситуациях он всегда умел поддерживать разговор, не давая собеседнику почувствовать себя неуютно."
1641,поддерживать родителей,0,-,nat_corpus,,
1642,поддерживать связь,1,общаться,dict,"Для координации действий им приходилось [MASK] почти круглосуточно, особенно во время кризисов.","Для координации действий им приходилось поддерживать связь почти круглосуточно, особенно во время кризисов."
1643,поддерживать форму,0,-,nat_corpus,,
1644,подложить взрывчатку,0,-,nat_corpus,,
1645,подложить свинью,1,подставить,dict,"Он притворился другом, чтобы в самый неподходящий момент [MASK] и предать.","Он притворился другом, чтобы в самый неподходящий момент подложить свинью и предать."
1646,подложить соломку,1,подстраховаться,nat_corpus,"Родители стараются [MASK] детям, чтобы в случае ошибок им было мягче падать.","Родители стараются подложить соломку детям, чтобы в случае ошибок им было мягче падать."
1647,подложить хворост,0,-,nat_corpus,,
1648,поднимать ажиотаж,1,взволновать,dict,"СМИ начали активно [MASK] вокруг мероприятия, подогревая интерес публики.","СМИ начали активно поднимать ажиотаж вокруг мероприятия, подогревая интерес публики."
1649,поднимать благосостояние,1,улучшать,dict,Благодаря грамотной экономической политике удалось значительно [MASK] большинства слоёв населения.,Благодаря грамотной экономической политике удалось значительно поднять благосостояние большинства слоёв населения.
1650,поднимать бунт,1,бунтовать,dict,"В условиях нарастающего давления со стороны власти, жители начали [MASK], требуя справедливости и перемен.","В условиях нарастающего давления со стороны власти, жители начали поднимать бунт, требуя справедливости и перемен."
1651,поднимать веки,0,-,nat_corpus,,
1652,поднимать возню,1,возиться,dict,"Когда в комнате начиналась суета, всегда находился кто-то, кто первым начинал [MASK], создавая дополнительный хаос.","Когда в комнате начиналась суета, всегда находился кто-то, кто первым начинал поднимать возню, создавая дополнительный хаос."
1653,поднимать голову,0,-,nat_corpus,,
1654,поднимать ногу,0,-,nat_corpus,,
1655,поднимать трубку,0,-,nat_corpus,,
1656,подниматься духом,1,воодушевляться,nat_corpus,После прослушивания вдохновляющего гимна наша камада [MASK] и смогла одержать победу в последнем раунде.,После прослушивания вдохновляющего гимна наша камада поднялась духом и смогла одержать победу в последнем раунде.
1657,подниматься лифтом,0,-,nat_corpus,,
1658,подниматься на борьбу,1,бороться,dict,"Услышав о несправедливости, народ стал [MASK], чтобы постоять за свои права и достоинство.","Услышав о несправедливости, народ стал подниматься на борьбу, чтобы постоять за свои права и достоинство."
1659,подниматься на гору,0,-,nat_corpus,,
1660,подниматься на защиту,1,защищать,dict,"После обвинений в адрес её коллеги она была готова [MASK], не жалея усилий для его оправдания.","После обвинений в адрес её коллеги она была готова подняться на защиту, не жалея усилий для его оправдания."
1661,подниматься на ноги,1,преуспеть,nat_corpus,"Молодым людямс сложно сразу [MASK] и стать самостоятельными, поэтому родители должны их поддерживать на первых этапах.","Молодым людямс сложно сразу подняться на ноги и стать самостоятельными, поэтому родители должны их поддерживать на первых этапах."
1662,подниматься на поверхность,0,-,nat_corpus,,
1663,подниматься на цыпочки,0,-,nat_corpus,,
1664,подрывать авторитет,0,-,nat_corpus,,
1665,подрывать веру,0,-,nat_corpus,,
1666,подрывать здоровье,1,ослабевать,nat_corpus,"Постоянные стрессы и недосыпание стали медленно, но верно [MASK], что вскоре сказалось на его работоспособности.","Постоянные стрессы и недосыпание стали медленно, но верно подрывать здоровье, что вскоре сказалось на его работоспособности."
1667,подрывать порядок,1,расшатывать,dict,Подобные действия отдельных чиновников начали [MASK] и наводить настоящий хаос в обществе.,Подобные действия отдельных чиновников начали подрывать порядок и наводить настоящий хаос в обществе.
1668,подрывать фундамент,1,колебать,dict,"Расследование показало, что многолетняя коррупция могла [MASK] государства и привести к распаду системы.","Расследование показало, что многолетняя коррупция могла подорвать фундамент государства и привести к распаду системы."
1669,подрывать экономику,0,-,nat_corpus,,
1670,подтасовывать карты,1,мошенничать,nat_corpus,"Его обвинили в попытке [MASK] во время карточной игры, что вызвало скандал.","Его обвинили в попытке подтасовывать карты во время карточной игры, что вызвало скандал."
1671,подтасовывать свидетелей,0,-,nat_corpus,,
1672,подтасовывать факты,1,обманывать,dict,"Чтобы представить ситуацию в выгодном свете, он не стеснялся [MASK], изменяя реальные данные.","Чтобы представить ситуацию в выгодном свете, он не стеснялся подтасовывать факты, изменяя реальные данные."
1673,подтасовывать цифры,0,-,nat_corpus,,
1674,подхватывать инициативу,1,инициировать,dict,"Как только лидер ушёл в отставку, молодое поколение решило [MASK], продолжив его реформаторские идеи.","Как только лидер ушёл в отставку, молодое поколение решило подхватывать инициативу, продолжив его реформаторские идеи."
1675,подхватывать мяч,0,-,nat_corpus,,
1676,подхватывать почин,1,зачинать,dict,"Новый руководитель умело смог [MASK], начав преобразования, к которым давно стремился коллектив.","Новый руководитель умело смог подхватить почин, начав преобразования, к которым давно стремился коллектив."
1677,подхватывать припев,0,-,nat_corpus,,
1678,подхватывать слова,0,-,nat_corpus,,
1679,подхватывать тему,1,продолжать,nat_corpus,"Во время жаркой дискуссии он первым [MASK] реформ в правилах компании, развивая аргументы коллег и добавляя свои наблюдения.","Во время жаркой дискуссии он первым подхватил тему реформ в правилах компании, развивая аргументы коллег и добавляя свои наблюдения."
1680,подходить к дому,0,-,nat_corpus,,
1681,подходить к задаче,0,-,nat_corpus,,
1682,подходить к концу,1,заканчиваться,dict,"По мере того как вечер становился всё тише, казалось, что праздник постепенно [MASK], что оставляло лёгкую грусть.","По мере того как вечер становился всё тише, казалось, что праздник постепенно подходит к концу, что оставляло лёгкую грусть."
1683,подходить к ответу,1,выяснять,nat_corpus,"После долгих рассуждений и анализа ситуации она наконец начала [MASK], всё ближе приближаясь к истине.","После долгих рассуждений и анализа ситуации она наконец начала подходить к ответу, всё ближе приближаясь к истине."
1684,подчёркивать важность,1,акцентировать,nat_corpus,Эксперты продолжают [MASK] своевременных действий в условиях надвигающегося кризиса.,Эксперты продолжают подчёркивать важность своевременных действий в условиях надвигающегося кризиса.
1685,подчёркивать заслуги,1,отмечать,nat_corpus,"В своей речи он не забыл [MASK] всех, кто участвовал в подготовке проекта и внёс в него весомый вклад.","В своей речи он не забыл подчеркнуть заслуги всех, кто участвовал в подготовке проекта и внёс в него весомый вклад."
1686,подчёркивать значение,1,выдеять,dict,Доклад профессора ещё раз позволил [MASK] проблемы устойчивого развития в современных условиях.,Доклад профессора ещё раз позволил подчеркнуть значение проблемы устойчивого развития в современных условиях.
1687,подчёркивать значимость,1,выдеять,nat_corpus,"То, что многие студенты выбирают продолжить свой путь в науке, [MASK] фундаментального образования.","То, что многие студенты выбирают продолжить свой путь в науке, подчеркивает значимость фундаментального образования."
1688,подчёркивать красоту,0,-,nat_corpus,,
1689,подчёркивать необходимость,0,-,nat_corpus,,
1690,подчёркивать связь,0,-,nat_corpus,,
1691,подчёркивать слова,0,-,nat_corpus,,
1692,пойти в атаку,1,атаковать,nat_corpus,"Когда времени на раздумья не осталось, они решительно [MASK], несмотря на численное превосходство врага.","Когда времени на раздумья не осталось, они решительно пошли в атаку, несмотря на численное превосходство врага."
1693,пойти в магазин,0,-,GPT-4o,,
1694,пойти в разведку,1,разведать,dict,"Несмотря на опасность, он вызвался добровольно [MASK], чтобы добыть информацию о враге.","Несмотря на опасность, он вызвался добровольно пойти в разведку, чтобы добыть информацию о враге."
1695,пойти в школу,0,-,GPT-4o,,
1696,пойти на компромисс,1,уступить,nat_corpus,"После долгих переговоров стороны согласились [MASK], чтобы подписать договор.","После долгих переговоров стороны согласились пойти на компромисс, чтобы подписать договор."
1697,пойти на работу,0,-,nat_corpus,,
1698,пойти на риск,1,рискнуть,nat_corpus,"Он понимал, что решение спорное, но всё же решился [MASK], чтобы добиться цели.","Он понимал, что решение спорное, но всё же решился пойти на риск, чтобы добиться цели."
1699,пойти на станцию,0,-,nat_corpus,,
1700,показывать документ,0,-,GPT-4o,,
1701,показывать дорогу,1,направлять,nat_corpus,"Незнакомец любезно согласился [MASK] заблудившемуся туристу, указав нужную улицу.","Незнакомец любезно согласился показать дорогу заблудившемуся туристу, указав нужную улицу."
1702,показывать кино,0,-,nat_corpus,,
1703,показывать на примере,1,иллюстрировать,dict,"Учитель решил [MASK] конкретной задачи суть алгоритма, чтобы ученики лучше его.","Учитель решил показать на примере конкретной задачи суть алгоритма, чтобы ученики лучше его."
1704,показывать направление,1,направлять,nat_corpus,"Хороший учитель всегда [MASK] ученику, чтобы он быстрее и успешнее развивался.","Хороший учитель всегда показывает направление ученику, чтобы он быстрее и успешнее развивался."
1705,показывать представление,0,-,nat_corpus,,
1706,показывать пример,1,показывать,dict,"Старший брат всегда старался [MASK] своим поведением, чтобы младшие брали с него пример.","Старший брат всегда старался показывать пример своим поведением, чтобы младшие брали с него пример."
1707,показывать фотогрфию,0,-,nat_corpus,,
1708,покрывать голову,0,-,nat_corpus,,
1709,покрывать лаком,0,-,nat_corpus,,
1710,покрывать позором,1,позорить,dict,"Его безнравственный поступок мог [MASK] всю семью, которая ценилась в обществе.","Его безнравственный поступок мог покрыть позором всю семью, которая ценилась в обществе."
1711,покрывать расходы,1,заплатить,dict,"Грант был выдан с условием, что он полностью [MASK], связанные с проведением научной экспедиции.","Грант был выдан с условием, что он полностью покроет расходы, связанные с проведением научной экспедиции."
1712,покрывать славой,1,прославлять,dict,Блестяще проведённая операция [MASK] имя хирурга и сделала его знаменитым далеко за пределами страны.,Блестяще проведённая операция покрыла славой имя хирурга и сделала его знаменитым далеко за пределами страны.
1713,покрывать славой себя,1,прославляться,dict,Победа в международном конкурсе помогла молодому композитору [MASK] и утвердиться в профессии.,Победа в международном конкурсе помогла молодому композитору покрыть себя славой и утвердиться в профессии.
1714,покрывать тело,0,-,nat_corpus,,
1715,покрывать убытки,0,-,nat_corpus,,
1716,поливать грязью,1,осрамить,dict,"После скандала в прессе его начали [MASK]  в интернете, не давая возможности оправдаться.","После скандала в прессе его начали поливать грязью в интернете, не давая возможности оправдаться."
1717,поливать помоями,1,очернять,nat_corpus,"Про актера слагают легенды, [MASK] сплетен, придумывая в интернете нелестные истории про него.","Про актера слагают легенды, поливают помоями сплетен, придумывая в интернете нелестные истории про него."
1718,поливать раствором,0,-,GPT-4o,,
1719,поливать соусом,0,-,nat_corpus,,
1720,положить болт,1,забить,nat_corpus,"В каждом классе найдется пара-тройка детей, которые на оценки [MASK] и совершенно безразличны к учебе.","В каждом классе найдется пара-тройка детей, которые на оценки кладут болт и совершенно безразличны к учебе."
1721,положить в гроб,0,-,nat_corpus,,
1722,положить глаз,1,присмотреть,dict,Он сразу [MASK] на новую квартиру в центре — с балконом и видом на парк.,Он сразу положил глаз на новую квартиру в центре — с балконом и видом на парк.
1723,положить еду,0,-,nat_corpus,,
1724,положить конец,1,окончить,nat_corpus,После долгих лет конфликта обе стороны решили наконец [MASK] вражде.,После долгих лет конфликта обе стороны решили наконец положить конец вражде.
1725,положить кошелёк,0,-,GPT-4o,,
1726,положить на стол,0,-,nat_corpus,,
1727,положить на тарелку,0,-,nat_corpus,,
1728,положить предел,1,окончить,nat_corpus,"Государство должно [MASK] бесконтрольному росту цен, иначе будет социальный взрыв.","Государство должно положить предел бесконтрольному росту цен, иначе будет социальный взрыв."
1729,получать образование,1,учиться,dict,"Несмотря на то, что его семья была необразованная, он с юных лет стремился [MASK] и в итоге стал очень грамотным специалистом.","Несмотря на то, что его семья была необразованная, он с юных лет стремился получать образование и в итоге стал очень грамотным специалистом."
1730,получать огласку,1,оглашаться,dict,"Скандал, связанный с деятельностью чиновника, вскоре стал [MASK] из-за утечки информации в прессу.","Скандал, связанный с деятельностью чиновника, вскоре стал получать огласку из-за утечки информации в прессу."
1731,получать освещение,1,освещаться,dict,"Важные события, происходящие в регионе, начали [MASK] в средствах массовой информации.","Важные события, происходящие в регионе, начали получать освещение в средствах массовой информации."
1732,получать ответ,0,-,nat_corpus,,
1733,получать отражение,1,отразиться,dict,"Все изменения, происходящие в обществе, рано или поздно [MASK] в искусстве и культуре.","Все изменения, происходящие в обществе, рано или поздно получают отражение в искусстве и культуре."
1734,получать письмо,0,-,nat_corpus,,
1735,получать подарок,0,-,nat_corpus,,
1736,получать посылку,0,-,nat_corpus,,
1737,пользоваться авторитетом,1,уважаться,dict,"Благодаря своему опыту и справедливости он [MASK] не только среди коллег, но и среди студентов.","Благодаря своему опыту и справедливости он пользовался авторитетом не только среди коллег, но и среди студентов."
1738,пользоваться благосклонностью,1,уважаться,dict,"Молодой писатель [MASK] влиятельных критиков и страших коллег, и его карьера быстро пошла в гору.","Молодой писатель пользовался благосклонностью влиятельных критиков и страших коллег, и его карьера быстро пошла в гору."
1739,пользоваться влиянием,1,влиять,dict,"После успешных реформ и одобрения со стороны граждан он начал [MASK] в парламенте, несмотря на скромное прошлое.","После успешных реформ и одобрения со стороны граждан он начал пользоваться влиянием в парламенте, несмотря на скромное прошлое."
1740,пользоваться вниманием,1,замечаться,dict,После резонансного интервью со знаменитостью автор статьи стал [MASK] со стороны широкой аудитории.,После резонансного интервью со знаменитостью автор статьи стал пользоваться вниманием со стороны широкой аудитории.
1741,пользоваться интернетом,0,-,nat_corpus,,
1742,пользоваться книгами,0,-,nat_corpus,,
1743,пользоваться случаем,0,-,nat_corpus,,
1744,пользоваться услугами,0,-,nat_corpus,,
1745,попадать в аварию,0,-,nat_corpus,,
1746,попадать в беду,0,-,nat_corpus,,
1747,попадать в дебри,1,запутаться,dict,"Из-за бесплодных и запутанных рассуждений вы совсем [MASK] и уже не знали, как из них выбраться.","Из-за бесплодных и запутанных рассуждений вы совсем попали в дебри и уже не знали, как из них выбраться."
1748,попадать в зависимость,1,зависеть,dict,"Человек, привыкший к контролю и независимости, не ожидал, что так легко может [MASK] от чужого мнения.","Человек, привыкший к контролю и независимости, не ожидал, что так легко может попасть в зависимость от чужого мнения."
1749,попадать в историю,1,вляпаться,dict,"Из-за глупостей и необдуманных решений он снова [MASK], и выбраться из этой нелепой ситуации было сложно.","Из-за глупостей и необдуманных решений он снова попал в историю, и выбраться из этой нелепой ситуации было сложно."
1750,попадать в кабалу,1,подчиняться,dict,"Заключив невыгодный контракт, компания фактически [MASK] у иностранных инвесторов.","Заключив невыгодный контракт, компания фактически попала в кабалу у иностранных инвесторов."
1751,попадать в рай,0,-,nat_corpus,,
1752,попадать в тюрьму,0,-,nat_corpus,,
1753,поправлять здоровье,1,поправиться,dict,"После операции врач порекомендовал пациенту уехать в санаторий, чтобы как следует [MASK] и полностью восстановиться.","После операции врач порекомендовал пациенту уехать в санаторий, чтобы как следует поправить здоровье и полностью восстановиться."
1754,поправлять очки,0,-,nat_corpus,,
1755,поправлять ошибки,1,исправлять,nat_corpus,"Перед тем как сдать отчёт, она решила ещё раз всё перечитать, чтобы [MASK] до отправки.","Перед тем как сдать отчёт, она решила ещё раз всё перечитать, чтобы поправить ошибки до отправки."
1756,поправлять причёску,0,-,nat_corpus,,
1757,попытать вора,0,-,nat_corpus,,
1758,попытать прием,0,-,nat_corpus,,
1759,попытать судьбу,1,попробовать,dict,"Переезд в другой город и смена профессии стали для неё шансом [MASK] и посмотреть, как изменится ее жизнь.","Переезд в другой город и смена профессии стали для неё шансом попытать судьбу и и посмотреть, как изменится ее жизнь."
1760,попытать счастье,1,попытаться,dict,Он решил [MASK] и купил лотерейный билет в последний момент перед закрытием киоска.,Он решил попытать счастье и купил лотерейный билет в последний момент перед закрытием киоска.
1761,попытать удачу,1,попробовать,nat_corpus,"Несмотря на малые шансы, он решился [MASK], зарегистрировав свой стартап на международном конкурсе.","Несмотря на малые шансы, он решился попытать удачу, зарегистрировав свой стартап на международном конкурсе."
1762,попытать человека,0,-,nat_corpus,,
1763,поражать взгляд,0,-,GPT-4o,,
1764,поражать воображение,1,изумлять,nat_corpus,Необычное оформление выставки и смелый подход к теме [MASK] всех посетителей.,Необычное оформление выставки и смелый подход к теме поражали воображение всех посетителей.
1765,поражать врага,1,побеждать,nat_corpus,В ходе боевых действий армия получила приказ [MASK] с максимальной точностью и минимальными потерями.,В ходе боевых действий армия получила приказ поразить врага с максимальной точностью и минимальными потерями.
1766,поражать публику,0,-,GPT-4o,,
1767,поражать сердце,0,-,GPT-4o,,
1768,поражать слух,0,-,GPT-4o,,
1769,поражать сознание,1,потрясать,nat_corpus,"То, как жестоко обошлись с мирными жителями, не может не [MASK] даже самых черствых людей.","То, как жестоко обошлись с мирными жителями, не может не поражать сознание даже самых черствых людей."
1770,поражать цель,1,попадать,dict,Благодаря отличной подготовке экипаж смог безошибочно [MASK] с первого выстрела.,Благодаря отличной подготовке экипаж смог безошибочно поразить цель с первого выстрела.
1771,пораскинуть мыслями,1,подумать,nat_corpus,"Утром он сел на веранде, чтобы в тишине [MASK] над сложным будущим.","Утром он сел на веранде, чтобы в тишине пораскинуть мыслями над сложным будущим."
1772,пораскинуть ноги,0,-,nat_corpus,,
1773,порочить власть,0,-,nat_corpus,,
1774,порочить имя,1,позорить,nat_corpus,"Распространённые слухи начали [MASK] уважаемого политика, подрывая доверие к нему в обществе.","Распространённые слухи начали порочить имя уважаемого политика, подрывая доверие к нему в обществе."
1775,порочить людей,0,-,nat_corpus,,
1776,порочить нацию,0,-,nat_corpus,,
1777,порочить репутацию,1,очернять,dict,"Анонимная публикация в прессе начала [MASK] известного врача, несмотря на отсутствие доказательств.","Анонимная публикация в прессе начала порочить репутацию известного врача, несмотря на отсутствие доказательств."
1778,порочить честь,1,позорить,dict,"Ложные обвинения, выдвинутые в суде, могли всерьёз [MASK] офицера, посвятившего жизнь службе.","Ложные обвинения, выдвинутые в суде, могли всерьёз порочить честь офицера, посвятившего жизнь службе."
1779,портить аппетит,0,-,nat_corpus,,
1780,портить впечатление,0,-,nat_corpus,,
1781,портить дело,1,мешать,nat_corpus,"Его неожиданный уход сильно [MASK], и продвигаться дальше стало проблематично.","Его неожиданный уход сильно испортил дело, и продвигаться дальше стало проблематично."
1782,портить жизнь,0,-,nat_corpus,,
1783,портить настроение,1,омрачать,nat_corpus,"Его мрачное настроение и постоянные жалобы стали [MASK] всей команде, снижая рабочий настрой.","Его мрачное настроение и постоянные жалобы стали портить настроение всей команде, снижая рабочий настрой."
1784,портить нервы,1,нервировать,dict,"Он понимал, что каждый скандал с участием журналистов будет лишь [MASK], и поэтому старался держаться в тени.","Он понимал, что каждый скандал с участием журналистов будет лишь портить нервы, и поэтому старался держаться в тени."
1785,портить отношения,1,ссорить,dict,Невозможность договориться по мелочам начала постепенно [MASK] между ними.,Невозможность договориться по мелочам начала постепенно портить отношения между ними.
1786,портить человека,0,-,nat_corpus,,
1787,порывать дорогу,0,-,nat_corpus,,
1788,порывать отношения,1,расставаться,dict,"После длительных ссор и взаимных упрёков они решили окончательно [MASK], несмотря на общее прошлое.","После длительных ссор и взаимных упрёков они решили окончательно порвать отношения, несмотря на общее прошлое."
1789,порывать с привычкой,1,прекратить,nat_corpus,После серьезного заболевания он решил окончтально [MASK] курить.,После серьезного заболевания он решил окончтально порвать с привычкой курить.
1790,порывать с прошлым,0,-,nat_corpus,,
1791,порывать с тардициями,0,-,nat_corpus,,
1792,порывать связь,1,расставаться,dict,"В разгар конфликта он вынужден был [MASK] со всеми, кто ранее помогал ему в бизнесе.","В разгар конфликта он вынужден был порвать связь со всеми, кто ранее помогал ему в бизнесе."
1793,поставить в духовку,0,-,nat_corpus,,
1794,поставить в известность,1,уведомить,nat_corpus,Перед началом работы сотрудников [MASK] о новых правилах.,Перед началом работы сотрудников поставили в известность о новых правилах.
1795,поставить в угол,1,наказать,nat_corpus,"За плохое поведение на уроке мальчика решили [MASK], и он простоял там до самого конца урока.","За плохое поведение на уроке мальчика решили поставить в угол, и он простоял там до самого конца урока."
1796,поставить клеймо,1,заклеймить,nat_corpus,"После этого инцидента на него [MASK] полного обманщика, и теперь он везде вызывает подозрения.","После этого инцидента на него поставили клеймо полного обманщика, и теперь он везде вызывает подозрения."
1797,поставить кружку,0,-,GPT-4o,,
1798,поставить на место,1,одернуть,dict,"Когда новичок начал грубить, тренер не растерялся и сразу [MASK] выскочку.","Когда новичок начал грубить, тренер не растерялся и сразу поставил на место выскочку."
1799,поставить на стол,0,-,nat_corpus,,
1800,поставить спектакль,0,-,nat_corpus,,
1801,постигать азы,1,учиться,nat_corpus,"На первых занятиях преподаватель старается помочь новичкам [MASK] предмета, без которых нельзя двигаться дальше.","На первых занятиях преподаватель старается помочь новичкам постичь азы предмета, без которых нельзя двигаться дальше."
1802,постигать глубину,0,-,nat_corpus,,
1803,постигать действительность,0,-,nat_corpus,,
1804,постигать искусство,0,-,nat_corpus,,
1805,постигать истину,1,осознавать,nat_corpus,"Лишь пройдя через личные испытания, он начал по-настоящему [MASK] науки и смотреть на мир иначе.","Лишь пройдя через личные испытания, он начал по-настоящему постигать истину науки и смотреть на мир иначе."
1806,постигать красоту,0,-,nat_corpus,,
1807,постигать смысл,1,осознавать,dict,"Читая философские трактаты, студент начал постепенно [MASK], которого раньше не замечал.","Читая философские трактаты, студент начал постепенно постигать смысл, которого раньше не замечал."
1808,постигать тайны,1,разведывать,dict,"Учёные посвятили годы, чтобы [MASK] древних обрядов, записанных на свитках.","Учёные посвятили годы, чтобы постичь тайны древних обрядов, записанных на свитках."
1809,постоять в дверях,0,-,nat_corpus,,
1810,постоять в очереди,0,-,nat_corpus,,
1811,постоять в раздумье,1,раздумывать,nat_corpus,"Он замер у окна и несколько минут [MASK], глядя на пустую улицу и не зная, что ему делать.","Он замер у окна и несколько минут простоял в раздумье, глядя на пустую улицу и не зная, что ему делать."
1812,постоять в стороне,1,отстраниться,nat_corpus,"В сложной ситуации он предпочёл [MASK], не вмешиваясь в спор.","В сложной ситуации он предпочёл постоять в стороне, не вмешиваясь в спор."
1813,постоять за себя,1,защититься,dict,"Несмотря на давление, она сумела [MASK] и доказать свою правоту.","Несмотря на давление, она сумела постоять за себя и доказать свою правоту."
1814,постоять у крыльца,0,-,nat_corpus,,
1815,потерпеть аварию,0,-,nat_corpus,,
1816,потерпеть катастрофу,0,-,nat_corpus,,
1817,потерпеть крушение,0,-,nat_corpus,,
1818,потерпеть неудачу,1,провалиться,nat_corpus,Даже самая лучшая стратегия не помогла им — им пришлось [MASK] и вернуться с пустыми руками.,Даже самая лучшая стратегия не помогла им — им пришлось потерпеть неудачу и вернуться с пустыми руками.
1819,потерпеть поражение,1,проиграть,dict,"Несмотря на тщательную подготовку, команда всё же была вынуждена [MASK] в решающем бою.","Несмотря на тщательную подготовку, команда всё же была вынуждена потерпеть поражение в решающем бою."
1820,потерпеть разочарование,1,разочароваться,nat_corpus,"После долгих лет ожидания, мечты не оправдались, и ему пришлось [MASK], которое еще долго не отпускало его.","После долгих лет ожидания, мечты не оправдались, и ему пришлось потерпеть разочарование, которое еще долго не отпускало его."
